Country Name,Country Code,GDPGROWTH2014,GDPGROWTH2015,GDPGROWTH2016,GDPGROWTH2017,EXPORT2014,EXPORT2015,EXPORT2016,EXPORT2017,TRADE2014,TRADE2015,TRADE2016,TRADE2017,INFLATION-2014,INFLATION-2015,INFLATION-2016,INFLATION-2017
Mali,MLI,7.043356204,5.962581591,5.799999995,5.400000103,22.55548858,24.04371065,23.45122033,23.09819527,60.63870922,63.63964146,63.78965096,61.80884567,0.883814547,1.450690576,-1.799647071,1.759857429
Malta,MLT,8.114239586,9.621648064,5.230584947,6.422489314,148.8423268,139.7535869,138.0097176,133.1826836,285.7410992,272.3983822,264.6213417,249.197969,0.310306472,1.100548264,0.642702772,1.364354482
Myanmar,MMR,7.990915597,6.99284029,5.862472915,6.758628824,20.09040216,20.79915998,15.00147113,19.96449532,42.25894318,47.36000335,36.96323838,47.95316736,5.046410888,9.485472555,6.964739177,4.572727331
Middle East & North Africa (excluding high income),MNA,2.095309946,0.978285758,7.428865071,3.018364703,28.30779151,24.58994864,23.54610963,27.27232975,62.8754931,57.30233426,54.49914301,59.8853923,2.898931704,1.494759286,2.186861615,3.822872258
Montenegro,MNE,1.8,3.4,2.9,4.7,40.14372802,42.11807213,40.60063517,41.0551905,100.1276779,102.6889774,103.6728665,105.554965,-0.710514052,1.548691582,-0.271385023,2.380235991
Mongolia,MNG,7.885225482,2.379835807,1.168393456,5.30166847,52.24899867,45.64559477,50.20095709,59.75342654,109.3223117,90.28701288,95.61140948,117.142495,12.22544812,6.580057365,1.05535328,4.050499281
Northern Mariana Islands,MNP,3.785900783,3.396226415,28.22384428,25.14231499,53.37278107,54.13533835,72.24,73.44632768,119.7633136,122.1267454,144.4,128.3113622,,,,
Mozambique,MOZ,7.444069441,6.593985957,3.763275593,3.736958241,33.35930413,32.2162477,36.78954602,40.71709948,118.1226299,104.2060395,111.1548809,113.3920392,,,,
Mauritania,MRT,5.579543856,1.399999997,2,3.500000006,39.14782634,37.10459511,37.15046839,41.96368528,104.9257413,109.364892,100.5284103,111.0398584,3.534368561,3.254726881,1.471710456,2.254276519
Mauritius,MUS,3.74480959,3.553058249,3.837952426,3.818469365,51.0628421,48.79492941,44.58385565,42.30016723,113.2927955,107.6368711,98.42995641,97.59752539,3.21769192,1.286549708,0.977675135,3.666997027
Malawi,MWI,5.700000004,2.799999999,2.484040626,4.000030517,33.70156796,29.15651988,32.96691831,29.16284408,73.32661186,64.9112746,77.90771479,65.32987076,23.79206495,21.86734755,21.71111321,11.54339392
Malaysia,MYS,6.00672195,5.091515721,4.223410194,5.897009293,73.79349863,70.55337316,67.78858183,71.38970577,138.3122312,133.4597022,128.8243895,135.8374588,3.142990509,2.104389802,2.090566595,3.871201158
North America,NAC,2.491803561,2.694791849,1.5523074,2.297746279,15.16592664,14.17317714,13.60892891,13.78441007,33.05860966,31.17742545,29.97029141,30.48195702,1.764429442,0.621934248,1.345171376,1.863497066
Namibia,NAM,6.351677961,6.086376114,0.641649561,-0.947841005,38.71407415,38.40861684,41.10499451,36.66470594,102.1427368,107.1350399,103.2825167,84.12907382,5.349526127,3.395660655,6.727795407,6.143923662
New Caledonia,NCL,,,,,,,,,,,,,0.178851061,0.570508141,0.578317436,
Niger,NER,7.529043067,4.33707237,4.925930933,4.893436691,21.01977057,18.2736702,17.17322003,16.62379232,60.29589046,59.12386051,48.70638658,49.58748371,-0.93028726,0.998329582,0.177037877,2.38268715
Nigeria,NGA,6.309718656,2.652693296,-1.61686895,0.80588662,18.43512606,10.65669502,9.218109698,13.1715621,30.88519372,21.44692967,20.72251888,26.347599,8.062485824,9.009387183,15.67534055,16.52353998
Nicaragua,NIC,4.7854602,4.768608794,4.658759192,4.861094976,45.00807225,40.5508553,39.10199158,41.22685159,106.6982002,99.4728626,95.09513053,96.65088373,6.035968618,3.997379967,3.523173176,3.850671663
Netherlands,NLD,1.423395401,1.959169699,2.191713725,2.868832199,80.57790815,82.65889671,79.53516476,82.95402742,150.0537554,157.816576,148.8586647,155.1749683,0.97603508,0.600248147,0.316666667,1.381458714
Norway,NOR,1.975117446,1.970052934,1.187354764,1.980437749,38.78287012,37.71758331,35.21951748,36.22218476,68.5661486,69.80965429,68.79850453,69.29043024,2.041702867,2.171136654,3.55,1.875100596
