,Country Code_y,Country Name,Political model,GDP-2012,GDP -2013,GDP-2014,GDP-2015,GDP-2016,GDP-2017,ICP-2012,ICP-2013,ICP-2014,ICP-2015,ICP-2016,ICP-2017,UG2012,UG2013,UG2014,UG2015,UG2016,UG2017,UG2018,UY2012,UY2013,UY2014,UY2015,UY2016,UY2017,UY2018,2018 score,Status
78,CHL,Chile,"Capitalism,Democracy",2.67E+11,2.78E+11,2.61E+11,2.44E+11,2.5E+11,2.77E+11,3.00652059,1.928220313,4.395,4.348867283,3.786661771,2.182469485,6.659999847,6.210000038,6.659999847,6.510000229,6.739999771,6.960000038,7.014999866,16.86100006,16.77599907,17.13400078,16.22900009,16.08699989,17.15099907,17.32500076,40.7,1
79,CHN,China,"Dictatorship,Communism",8.56E+12,9.61E+12,1.05E+13,1.11E+13,1.12E+13,1.22E+13,2.619526165,2.621049027,1.921643416,1.437024514,2,1.593137255,4.46999979,4.539999962,4.592999935,4.605000019,4.649000168,4.675000191,4.714000225,10.34599972,10.52999973,10.67000008,10.82999992,10.875,10.80000019,10.82299995,72.4,1
80,COL,Colombia,"Capitalism,Democracy",3.71E+11,3.82E+11,3.81E+11,2.93E+11,2.83E+11,3.14E+11,3.169302599,2.016993092,2.898838115,4.989829057,7.513460597,4.314313175,9.81000042,9.18999958,8.529999733,8.239999771,8.350000381,8.850000381,9.029999733,19.49900055,18.09199905,17.9090004,17.56800079,17.19199944,18.05999947,18.60300064,76.6,0
81,COM,Comoros,Democracy,1015901205,1115906342,1148058015,988150249.5,1024261821,1068124330,6.314744503,-4.294873315,,,,,4.399000168,4.377999783,4.361999989,4.34499979,4.347000122,4.34100008,4.331999779,9.930999756,9.930000305,9.907999992,9.890999794,9.921999931,9.954000473,9.984999657,82.6,1
82,CYP,Cyprus,"Capitalism,Democracy",25041397919,24084559214,23364707443,19680625485,20453761062,22054225828,2.388752401,-0.399357676,-1.354988854,-2.096997691,-1.687890723,0.531766496,11.78999996,15.88000011,16.07999992,14.92000008,12.94999981,11.03999996,10.35900021,26.53499985,36.97999954,34.43899918,31.29199982,27.79400063,23.82999992,22.43799973,60.3,1
83,CZE,Czech Republic,"Capitalism,Democracy",2.07E+11,2.09E+11,2.08E+11,1.87E+11,1.95E+11,2.16E+11,3.287623066,1.438297872,0.34398859,0.309364548,0.683504209,2.450533985,6.980000019,6.949999809,6.110000134,5.050000191,3.950000048,2.890000105,2.069000006,19.50799942,18.96899986,15.86100006,12.60700035,10.49800014,7.967000008,5.714000225,39,1
84,DEU,Germany,"Capitalism,Democracy",3.54E+12,3.75E+12,3.89E+12,3.38E+12,3.48E+12,3.68E+12,2.008491182,1.504722267,0.906797035,0.234429945,0.483355422,1.737916052,5.380000114,5.230000019,4.980000019,4.619999886,4.119999886,3.75,3.723999977,8.043000221,7.822000027,7.742000103,7.217999935,7.032000065,6.765999794,6.578999996,25.8,1
85,DJI,Djibouti,Democracy,1353632942,1324733712,1455035089,1633741923,1764268469,1844674435,3.731209508,2.706032429,1.341864943,-0.847389734,2.738412087,0.568112117,6.072000027,5.999000072,5.928999901,5.863999844,5.836999893,5.809999943,5.78399992,11.46199989,11.46800041,11.48600006,11.49699974,11.62199974,11.6960001,11.75800037,87.1,1
86,DNK,Denmark,"Capitalism,Democracy",3.27E+11,3.44E+11,3.53E+11,3.01E+11,3.07E+11,3.25E+11,2.397914857,0.78907178,0.56402054,0.452034154,0.25,1.14713217,7.53000021,7,6.590000153,6.170000076,6.179999828,5.739999771,5.360000134,14.1079998,13.00199986,12.56000042,10.79800034,11.93400002,10.97099972,10.26000023,19.8,1
87,ECU,Ecuador,"Democratic socialism,Democracy",87924544000,95129659000,1.02E+11,99290381000,99937696000,1.04E+11,5.10172181,2.721775777,3.589220166,3.966646233,1.728264633,0.417335589,3.230000019,3.079999924,3.480000019,3.619999886,4.599999905,3.839999914,4.031000137,8.645999908,8.418999672,9.065999985,8.838999748,10.38099957,8.512000084,9.083999634,74.2,0
88,ESP,Spain,"Capitalism,Democracy",1.34E+12,1.36E+12,1.38E+12,1.2E+12,1.24E+12,1.31E+12,2.446000185,1.408546292,-0.150870313,-0.500461321,-0.202671741,1.956083333,24.79000092,26.09000015,24.44000053,22.05999947,19.62999916,17.21999931,14.54899979,53.0909996,55.66899872,53.35100174,48.45399857,44.54299927,38.74700165,32.62400055,41.4,1
89,EST,Estonia,"Capitalism,Democracy",23043864510,25137153149,26224622451,22566956982,23337907619,25921079612,3.933399873,2.78056659,-0.106175147,-0.492326007,0.148684908,3.417235495,10.02000046,8.630000114,7.349999905,6.190000057,6.760000229,5.760000229,5.587999821,20.85499954,18.73200035,14.97399998,13.10499954,13.40799999,12.22599983,11.92800045,43,1
90,FIN,Finland,"Capitalism,Democracy",2.57E+11,2.7E+11,2.73E+11,2.32E+11,2.39E+11,2.52E+11,2.808336226,1.478286157,1.041196212,-0.20792884,0.356684501,0.754015047,7.690000057,8.18999958,8.659999847,9.380000114,8.819999695,8.640000343,8.248999596,18.8579998,19.79299927,20.3939991,22.29000092,20.01000023,20.04000092,19.07500076,17.9,1
91,FJI,Fiji,Democracy,3972012571,4190143206,4483416340,4362128146,4671313315,5061202767,3.418746703,2.905927407,0.528118153,1.376130953,3.864771418,3.351087439,9,7.578999996,6.170000076,6.098999977,6.237999916,6.304999828,6.236000061,24.3920002,20.70400047,18.31900024,18.17300034,18.53000069,18.75900078,18.58200073,74.5,0
92,FRA,France,Democracy,2.68E+12,2.81E+12,2.85E+12,2.44E+12,2.47E+12,2.58E+12,1.954195316,0.863715498,0.507758823,0.037514381,0.183334861,1.032282751,9.399999619,9.920000076,10.30000019,10.35999966,10.06000042,9.399999619,8.812000275,23.55999947,23.9829998,24.14299965,24.56100082,24.47100067,22.13999939,20.70899963,32.2,1
93,FSM,Micronesia,Democracy,326128700,316040600,317999400,315179700,329895600,336427500,5.01850353,1.752327374,0.650284892,-0.298115837,-1.037468064,,,,,,,,,,,,,,,,74.4,1
